geo,time,severe_mat_soc_deprivation
AL,2017,51.4
AL,2018,46.7
AL,2019,42.5
AL,2020,38.9
AL,2021,39.0
AL,2022,37.0
AL,2023,34.8
AT,2015,2.9
AT,2016,3.3
AT,2017,3.4
AT,2018,2.8
AT,2019,2.7
AT,2020,3.0
AT,2021,1.8
AT,2022,2.3
AT,2023,3.7
AT,2024,3.7
BE,2015,7.2
BE,2016,8.4
BE,2017,7.2
BE,2018,6.5
BE,2019,6.2
BE,2020,6.7
BE,2021,6.2
BE,2022,5.7
BE,2023,6.1
BE,2024,6.2
BG,2015,36.8
BG,2016,33.5
BG,2017,30.0
BG,2018,22.3
BG,2019,22.1
BG,2020,22.1
BG,2021,19.1
BG,2022,18.7
BG,2023,18.0
BG,2024,16.6
CH,2015,2.0
CH,2016,2.0
CH,2017,1.9
CH,2018,2.1
CH,2019,3.2
CH,2020,1.6
CH,2021,1.8
CH,2022,2.2
CH,2023,2.4
CH,2024,2.4
CY,2015,7.9
CY,2016,6.6
CY,2017,6.1
CY,2018,3.8
CY,2019,3.1
CY,2020,3.3
CY,2021,2.4
CY,2022,2.7
CY,2023,2.4
CY,2024,2.5
CZ,2015,4.5
CZ,2016,3.5
CZ,2017,3.4
CZ,2018,2.4
CZ,2019,2.1
CZ,2020,1.9
CZ,2021,1.8
CZ,2022,2.1
CZ,2023,2.7
CZ,2024,2.6
DE,2015,5.7
DE,2016,4.7
DE,2017,3.7
DE,2018,3.4
DE,2019,3.0
DE,2020,4.4
DE,2021,4.3
DE,2022,6.2
DE,2023,6.9
DE,2024,6.2
DK,2015,3.2
DK,2016,2.6
DK,2017,3.6
DK,2018,3.5
DK,2019,3.8
DK,2020,3.5
DK,2021,3.1
DK,2022,3.2
DK,2023,4.9
DK,2024,4.0
EA,2015,7.9
EA,2016,7.4
EA,2017,6.3
EA,2018,6.0
EA,2019,5.8
EA,2020,5.9
EA,2021,5.6
EA18,2019,5.8
EA18,2020,5.9
EA19,2015,7.9
EA19,2016,7.4
EA19,2017,6.3
EA19,2018,6.1
EA19,2019,5.8
EA19,2020,6.0
EA19,2021,5.6
EA20,2015,7.9
EA20,2016,7.4
EA20,2017,6.3
EA20,2018,6.1
EA20,2019,5.8
EA20,2020,5.9
EA20,2021,5.6
EA20,2022,6.0
EA20,2023,6.4
EA20,2024,6.1
EE,2015,3.5
EE,2016,2.2
EE,2017,4.0
EE,2018,3.1
EE,2019,2.6
EE,2020,2.3
EE,2021,1.9
EE,2022,3.3
EE,2023,2.5
EE,2024,3.1
EL,2015,17.6
EL,2016,18.4
EL,2017,18.3
EL,2018,16.1
EL,2019,15.8
EL,2020,14.9
EL,2021,13.9
EL,2022,13.9
EL,2023,13.5
EL,2024,14.0
ES,2015,7.4
ES,2016,8.5
ES,2017,8.3
ES,2018,8.7
ES,2019,7.7
ES,2020,8.5
ES,2021,8.3
ES,2022,7.7
ES,2023,9.0
ES,2024,8.3
EU,2015,9.3
EU,2016,8.7
EU,2017,7.5
EU,2018,6.8
EU,2019,6.7
EU27_2007,2019,6.4
EU27_2020,2015,9.7
EU27_2020,2016,9.0
EU27_2020,2017,7.8
EU27_2020,2018,7.1
EU27_2020,2019,6.7
EU27_2020,2020,6.7
EU27_2020,2021,6.3
EU27_2020,2022,6.7
EU27_2020,2023,6.8
EU27_2020,2024,6.4
EU28,2015,9.3
EU28,2016,8.7
EU28,2017,7.5
EU28,2018,6.8
EU28,2019,6.7
FI,2015,1.0
FI,2016,1.2
FI,2017,1.8
FI,2018,2.2
FI,2019,1.9
FI,2020,1.8
FI,2021,1.1
FI,2022,1.9
FI,2023,2.8
FI,2024,3.7
FR,2015,6.8
FR,2016,6.7
FR,2017,6.3
FR,2018,6.7
FR,2019,7.3
FR,2020,6.4
FR,2021,5.5
FR,2022,7.0
FR,2023,6.6
FR,2024,6.6
HR,2015,8.4
HR,2016,7.3
HR,2017,7.1
HR,2018,6.1
HR,2019,4.6
HR,2020,4.4
HR,2021,3.5
HR,2022,4.0
HR,2023,2.8
HR,2024,2.0
HU,2015,24.1
HU,2016,20.6
HU,2017,16.1
HU,2018,11.9
HU,2019,10.8
HU,2020,10.7
HU,2021,10.5
HU,2022,9.1
HU,2023,10.3
HU,2024,9.3
IE,2015,9.4
IE,2016,8.0
IE,2017,6.9
IE,2018,6.1
IE,2019,6.5
IE,2020,6.1
IE,2021,4.8
IE,2022,5.3
IE,2023,6.0
IE,2024,4.5
IS,2015,1.4
IS,2016,1.0
IS,2017,0.6
IS,2018,0.7
IS,2019,0.5
IS,2020,0.8
IT,2015,12.1
IT,2016,10.1
IT,2017,6.6
IT,2018,6.5
IT,2019,6.4
IT,2020,6.2
IT,2021,5.9
IT,2022,4.5
IT,2023,4.7
IT,2024,4.6
LT,2015,14.6
LT,2016,15.4
LT,2017,14.4
LT,2018,12.0
LT,2019,9.7
LT,2020,8.1
LT,2021,6.4
LT,2022,6.0
LT,2023,6.1
LT,2024,6.1
LU,2015,2.5
LU,2016,2.0
LU,2017,1.9
LU,2018,1.6
LU,2019,1.4
LU,2020,1.7
LU,2021,2.4
LU,2022,2.0
LU,2023,2.5
LU,2024,2.3
LV,2015,15.4
LV,2016,12.6
LV,2017,12.9
LV,2018,10.4
LV,2019,7.5
LV,2020,7.0
LV,2021,5.3
LV,2022,7.8
LV,2023,6.2
LV,2024,5.3
ME,2015,32.3
ME,2016,29.7
ME,2017,28.7
ME,2018,27.7
ME,2019,21.0
ME,2020,23.0
ME,2021,24.0
ME,2022,18.0
ME,2023,12.3
MK,2015,29.1
MK,2016,27.5
MK,2017,24.6
MK,2018,22.6
MK,2019,22.1
MK,2020,17.8
MK,2021,15.2
MK,2022,18.2
MK,2023,15.1
MK,2024,11.6
MT,2015,8.2
MT,2016,5.2
MT,2017,4.3
MT,2018,4.7
MT,2019,5.0
MT,2020,5.1
MT,2021,5.4
MT,2022,4.9
MT,2023,4.1
MT,2024,4.3
NL,2015,3.2
NL,2016,2.6
NL,2017,2.6
NL,2018,2.6
NL,2019,2.8
NL,2020,2.2
NL,2021,2.1
NL,2022,2.5
NL,2023,2.7
NL,2024,3.1
NO,2015,1.7
NO,2017,2.0
NO,2018,1.7
NO,2019,2.0
NO,2020,2.4
NO,2021,2.1
NO,2022,1.9
NO,2023,2.6
NO,2024,2.8
PL,2015,7.8
PL,2016,5.4
PL,2017,5.3
PL,2018,4.5
PL,2019,3.5
PL,2020,2.6
PL,2021,2.9
PL,2022,2.8
PL,2023,3.0
PL,2024,2.3
PT,2015,10.9
PT,2016,9.1
PT,2017,8.0
PT,2018,6.6
PT,2019,5.6
PT,2020,5.4
PT,2021,6.0
PT,2022,5.3
PT,2023,4.9
PT,2024,4.3
RO,2015,34.0
RO,2016,35.9
RO,2017,32.4
RO,2018,28.3
RO,2019,24.5
RO,2020,25.3
RO,2021,23.1
RO,2022,24.3
RO,2023,19.8
RO,2024,17.2
RS,2015,25.1
RS,2017,22.8
RS,2018,17.4
RS,2019,14.9
RS,2020,15.2
RS,2021,14.2
RS,2022,14.8
RS,2023,13.6
RS,2024,10.3
SE,2015,1.1
SE,2016,0.7
SE,2017,1.0
SE,2018,1.4
SE,2019,1.5
SE,2020,2.0
SE,2021,1.4
SE,2022,2.3
SE,2023,2.5
SE,2024,3.0
SI,2015,4.8
SI,2016,4.1
SI,2017,4.5
SI,2018,3.2
SI,2019,2.2
SI,2020,2.6
SI,2021,1.8
SI,2022,1.4
SI,2023,2.0
SI,2024,1.8
SK,2015,8.4
SK,2016,7.6
SK,2017,6.3
SK,2018,5.4
SK,2019,5.9
SK,2020,4.5
SK,2021,5.7
SK,2022,6.3
SK,2023,7.0
SK,2024,7.6
TR,2017,15.4
TR,2018,15.4
TR,2019,15.9
TR,2020,16.7
TR,2021,18.2
TR,2022,15.2
TR,2023,14.5
TR,2024,13.4
UK,2015,6.7
UK,2016,6.5
UK,2017,4.7
UK,2018,4.5
